"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","Endemicity_ID"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2013","4344","1380","2875","6785","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2014","4459","1417","2952","6966","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2015","4577","1455","3031","7152","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2016","4601","552","1150","2715","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","0"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2017","4824","1534","3194","7538","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2018","4900","588","1225","2891","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","0"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2019","5084","1616","3367","7945","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Noya","20328",null,null,"0","ADM2","Noya","20328","GAB0205220328","2020","4167","475","1041","2407","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","0"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Komo-Kango","20329",null,null,"0","ADM2","Komo","20329","GAB0205220329","2013","16552","618","1287","3037","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Komo-Kango","20329",null,null,"0","ADM2","Komo","20329","GAB0205220329","2014","16993","634","1321","3117","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Komo-Kango","20329",null,null,"0","ADM2","Komo","20329","GAB0205220329","2015","17446","651","1356","3200","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Komo-Kango","20329",null,null,"0","ADM2","Komo","20329","GAB0205220329","2016","17543","2105","4386","10350","Unknown (consider Oncho Elimination Mapping)","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","4"
"Africa","Middle Africa","AFRO","Gabon","18","GB","GA","GAB","Estuaire","2052","Komo-Kango","20329",null,null,"0","ADM2","Komo","20329","GAB0205220329","2017","18389","686","1429","3372","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","999"
